timestamp,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count
1691780400,Burnley,Manchester City,0,3
1691841600,Arsenal,Nottingham Forest,2,1
1691848800,AFC Bournemouth,West Ham United,1,1
1691848800,Brighton & Hove Albion,Luton Town,4,1
1691848800,Everton,Fulham,0,1
1691848800,Sheffield United,Crystal Palace,0,1
1691857800,Newcastle United,Aston Villa,5,1
1691931600,Brentford,Tottenham Hotspur,2,2
1691940600,Chelsea,Liverpool,1,1
1692039600,Manchester United,Wolverhampton Wanderers,1,0
1692384300,Nottingham Forest,Sheffield United,2,1
1692453600,Fulham,Brentford,0,3
1692453600,Liverpool,AFC Bournemouth,3,1
1692453600,Wolverhampton Wanderers,Brighton & Hove Albion,1,4
1692462600,Tottenham Hotspur,Manchester United,2,0
1692471600,Manchester City,Newcastle United,1,0
1692536400,Aston Villa,Everton,4,0
1692545400,West Ham United,Chelsea,3,1
1692644400,Crystal Palace,Arsenal,0,1
1692990000,Chelsea,Luton Town,3,0
1693049400,AFC Bournemouth,Tottenham Hotspur,0,2
1693058400,Arsenal,Fulham,2,2
1693058400,Brentford,Crystal Palace,1,1
1693058400,Everton,Wolverhampton Wanderers,0,1
1693058400,Manchester United,Nottingham Forest,3,2
1693067400,Brighton & Hove Albion,West Ham United,1,3
1693141200,Burnley,Aston Villa,1,3
1693141200,Sheffield United,Manchester City,1,2
1693150200,Newcastle United,Liverpool,1,2
1693594800,Luton Town,West Ham United,1,2
1693654200,Sheffield United,Everton,2,2
1693663200,Brentford,AFC Bournemouth,2,2
1693663200,Burnley,Tottenham Hotspur,2,5
1693663200,Chelsea,Nottingham Forest,0,1
1693663200,Manchester City,Fulham,5,1
1693672200,Brighton & Hove Albion,Newcastle United,3,1
1693746000,Crystal Palace,Wolverhampton Wanderers,3,2
1693746000,Liverpool,Aston Villa,3,0
1693755000,Arsenal,Manchester United,3,1
1694863800,Wolverhampton Wanderers,Liverpool,1,3
1694872800,Aston Villa,Crystal Palace,3,1
1694872800,Fulham,Luton Town,1,0
1694872800,Manchester United,Brighton & Hove Albion,1,3
1694872800,Tottenham Hotspur,Sheffield United,2,1
1694872800,West Ham United,Manchester City,1,3
1694881800,Newcastle United,Brentford,1,0
1694955600,AFC Bournemouth,Chelsea,0,0
1694964600,Everton,Arsenal,0,1
1695062700,Nottingham Forest,Burnley,1,1
1695477600,Crystal Palace,Fulham,0,0
1695477600,Luton Town,Wolverhampton Wanderers,1,1
1695477600,Manchester City,Nottingham Forest,2,0
1695486600,Brentford,Everton,1,3
1695495600,Burnley,Manchester United,0,1
1695560400,Arsenal,Tottenham Hotspur,2,2
1695560400,Brighton & Hove Albion,AFC Bournemouth,3,1
1695560400,Chelsea,Aston Villa,0,1
1695560400,Liverpool,West Ham United,3,1
1695569400,Sheffield United,Newcastle United,0,8
1696073400,Aston Villa,Brighton & Hove Albion,6,1
1696082400,AFC Bournemouth,Arsenal,0,4
1696082400,Everton,Luton Town,1,2
1696082400,Manchester United,Crystal Palace,0,1
1696082400,Newcastle United,Burnley,2,0
1696082400,West Ham United,Sheffield United,2,0
1696082400,Wolverhampton Wanderers,Manchester City,2,1
1696091400,Tottenham Hotspur,Liverpool,2,1
1696165200,Nottingham Forest,Brentford,1,1
